Date,Open,High,Low,Close,Volume,Adj Close,
11/7/2013,49.24,49.87,47.3,47.56,96925500,47.56,
11/6/2013,50.26,50.45,48.71,49.12,67648600,49.12,
11/5/2013,47.79,50.18,47.51,50.11,76668300,50.11,
11/4/2013,49.37,49.75,48.02,48.22,80206200,48.22,
11/1/2013,50.85,52.09,49.72,49.75,94822200,49.75,
10/31/2013,47.16,52,46.5,50.21,248388200,50.21,
10/30/2013,50,50.21,48.75,49.01,116674400,49.01,
10/29/2013,50.73,50.79,49.25,49.4,101859700,49.4,
10/28/2013,51.54,51.7,49.61,50.23,73472000,50.23,
10/25/2013,53.18,53.24,51.88,51.95,45085000,51.95,
10/24/2013,52.38,52.84,51.59,52.45,46775000,52.45,
10/23/2013,51.75,52.25,51.13,51.9,57207000,51.9,
10/22/2013,54.33,54.76,52.2,52.68,83204000,52.68,
10/21/2013,54.68,54.81,53.51,53.85,58235000,53.85,
10/18/2013,54.18,54.83,53.6,54.22,88260000,54.22,
10/17/2013,51.12,52.22,50.95,52.21,71522000,52.21,
10/16/2013,50.04,51.24,49.9,51.14,64678000,51.14,
10/15/2013,49.99,51,49.18,49.5,81167000,49.5,
10/14/2013,48.31,49.63,47.91,49.51,68781000,49.51,
10/11/2013,49.18,49.87,48.79,49.11,58428000,49.11,
10/10/2013,47.87,49.68,47.83,49.05,99774000,49.05,
10/9/2013,47.38,47.84,45.26,46.77,147297000,46.77,
10/8/2013,50.6,50.6,47.08,47.14,136081000,47.14,
10/7/2013,50.73,51.29,50.4,50.52,57204000,50.52,
10/4/2013,49.77,51.16,49.57,51.04,74447000,51.04,
10/3/2013,50.47,50.72,49.06,49.18,82045000,49.18,
10/2/2013,50.13,51.1,49.95,50.28,62834000,50.28,
10/1/2013,49.97,51.03,49.45,50.42,98114000,50.42,
9/30/2013,50.14,51.6,49.8,50.23,100095000,50.23,
9/27/2013,50.29,51.28,49.86,51.24,81410500,51.24,
9/26/2013,50.01,50.6,49.5,50.39,98220100,50.39,
9/25/2013,49.23,49.54,48.46,49.46,87879700,49.46,
9/24/2013,48.51,49.66,48.16,48.45,136716100,48.45,
9/23/2013,47.28,47.55,46.29,47.19,75177000,47.19,
9/20/2013,46.32,47.6,45.74,47.49,115508400,47.49,
9/19/2013,45.51,46.05,45.23,45.98,63972400,45.98,
9/18/2013,44.84,45.47,44.4,45.23,79317000,45.23,
9/17/2013,42.5,45.44,42.43,45.07,91934600,45.07,
9/16/2013,44.85,44.94,42.43,42.51,70424200,42.51,
9/13/2013,45.04,45.08,43.93,44.31,52765300,44.31,
9/12/2013,45.53,45.62,44.65,44.75,68072300,44.75,
9/11/2013,43.39,45.09,43.11,45.04,72328300,45.04,
9/10/2013,44.24,44.26,43.23,43.6,54540300,43.6,
9/9/2013,44.36,44.79,43.7,44.04,75794700,44.04,
9/6/2013,43.09,44.61,42.4,43.95,117535700,43.95,
9/5/2013,41.79,42.77,41.77,42.66,50035400,42.66,
9/4/2013,42.01,42.17,41.44,41.78,42581900,41.78,
9/3/2013,41.84,42.16,41.51,41.87,48774900,41.87,
8/30/2013,42.02,42.26,41.06,41.29,67735100,41.29,
8/29/2013,40.89,41.78,40.8,41.28,58303400,41.28,
8/28/2013,39.96,40.85,39.88,40.55,57918200,40.55,
8/27/2013,40.68,41.2,39.42,39.64,72695100,39.64,
8/26/2013,40.9,41.94,40.62,41.34,94162400,41.34,
8/23/2013,39,40.63,38.93,40.55,86442300,40.55,
8/22/2013,38.37,38.75,38.34,38.55,21931200,38.55,
8/21/2013,38.38,38.85,38.15,38.32,46116900,38.32,
8/20/2013,38.35,38.58,37.69,38.41,57995200,38.41,
8/19/2013,37.43,38.28,37.14,37.81,57609600,37.81,
8/16/2013,36.97,37.49,36.9,37.08,45840800,37.08,
8/15/2013,36.36,37.07,36.02,36.56,56521100,36.56,
8/14/2013,36.83,37.55,36.62,36.65,48423900,36.65,
8/13/2013,38.24,38.32,36.77,37.02,65379200,37.02,
8/12/2013,38.2,38.5,38.1,38.22,31161000,38.22,
8/9/2013,38.59,38.74,38.01,38.5,43532300,38.5,
8/8/2013,39.13,39.19,38.43,38.54,41301000,38.54,
8/7/2013,38.61,38.94,37.7,38.87,68854800,38.87,
8/6/2013,39.11,39.25,37.94,38.55,63950800,38.55,
8/5/2013,38.43,39.32,38.25,39.19,79994800,39.19,
8/2/2013,37.66,38.49,37.5,38.05,73058500,38.05,
8/1/2013,37.3,38.29,36.92,37.49,106066500,37.49,
7/31/2013,37.96,38.31,36.33,36.8,154828700,36.8,
7/30/2013,35.65,37.96,35.32,37.63,173582800,37.63,
7/29/2013,34.07,35.63,34.01,35.43,124718800,35.43,
7/26/2013,33.77,34.73,33.56,34.01,136028900,34.01,
7/25/2013,33.54,34.88,32.75,34.36,365457900,34.36,
7/24/2013,26.32,26.53,26.05,26.51,82635600,26.51,
7/23/2013,26.1,26.3,25.97,26.13,28221600,26.13,
7/22/2013,25.99,26.13,25.72,26.05,27526300,26.05,
7/19/2013,25.82,26.11,25.6,25.88,46539700,25.88,
7/18/2013,26.75,26.77,26.12,26.18,24806900,26.18,
7/17/2013,26.37,26.78,26.3,26.65,21518500,26.65,
7/16/2013,26.39,26.75,26.01,26.32,30817600,26.32,
7/15/2013,25.93,26.43,25.65,26.28,24234000,26.28,
7/12/2013,25.74,25.93,25.55,25.91,16537900,25.91,
7/11/2013,25.96,26,25.45,25.81,26777400,25.81,
7/10/2013,25.58,25.83,25.47,25.8,26721800,25.8,
7/9/2013,25.07,25.49,25.03,25.48,30387900,25.48,
7/8/2013,24.47,25.04,24.42,24.71,27064600,24.71,
7/5/2013,24.65,24.66,24.2,24.37,20229500,24.37,
7/3/2013,24.22,24.71,24.15,24.52,10404400,24.52,
7/2/2013,24.7,24.77,24.3,24.41,18394100,24.41,
7/1/2013,24.97,25.06,24.62,24.81,20582200,24.81,
6/28/2013,24.68,24.98,24.42,24.88,96778900,24.88,
6/27/2013,24.24,24.84,24.21,24.66,34694100,24.66,
6/26/2013,24.51,24.65,23.99,24.16,29890300,24.16,
6/25/2013,24.14,24.43,24.04,24.25,24713200,24.25,
6/24/2013,23.95,24.11,23.38,23.94,40626000,23.94,
6/21/2013,24.59,24.7,24.05,24.53,45833900,24.53,
6/20/2013,24.28,24.75,23.65,23.9,42765600,23.9,
6/19/2013,24.2,25.19,24.1,24.31,31790600,24.31,
6/18/2013,24.09,24.69,24.08,24.21,36709100,24.21,
6/17/2013,23.91,24.25,23.75,24.02,33664500,24.02,
6/14/2013,23.56,23.89,23.26,23.63,30677100,23.63,
6/13/2013,23.72,23.83,23.27,23.73,31189300,23.73,
6/12/2013,24.16,24.26,23.58,23.77,26445800,23.77,
6/11/2013,24.03,24.35,24,24.03,29885900,24.03,
6/10/2013,24.06,24.6,23.99,24.33,58393000,24.33,
6/7/2013,23.03,23.4,22.86,23.29,38699200,23.29,
6/6/2013,22.99,23.09,22.67,22.97,31260700,22.97,
6/5/2013,23.35,23.71,22.79,22.9,53819700,22.9,
6/4/2013,23.89,23.93,23.32,23.52,34760800,23.52,
6/3/2013,24.27,24.32,23.71,23.85,35733800,23.85,
5/31/2013,24.63,24.95,24.27,24.35,35925000,24.35,
5/30/2013,24.13,24.78,23.93,24.55,60733200,24.55,
5/29/2013,23.79,23.81,23.26,23.32,64237800,23.32,
5/28/2013,24.54,24.54,23.92,24.1,50079700,24.1,
5/24/2013,24.97,24.97,24.08,24.31,58727900,24.31,
5/23/2013,24.8,25.53,24.77,25.06,37663100,25.06,
5/22/2013,25.65,25.85,24.92,25.16,45314500,25.16,
5/21/2013,25.87,26.08,25.59,25.66,26261300,25.66,
5/20/2013,26.18,26.19,25.69,25.76,42402900,25.76,
5/17/2013,26.4,26.6,26.2,26.25,29462700,26.25,
5/16/2013,26.48,26.55,25.9,26.13,35499100,26.13,
5/15/2013,26.92,26.99,26.4,26.6,30299800,26.6,
5/14/2013,26.89,27.28,26.82,27.07,24930300,27.07,
5/13/2013,26.6,27.33,26.53,26.82,29068800,26.82,
5/10/2013,27.14,27.3,26.57,26.68,30847100,26.68,
5/9/2013,27.08,27.55,26.85,27.04,33457200,27.04,
5/8/2013,26.88,27.3,26.65,27.12,34654900,27.12,
5/7/2013,27.55,27.85,26.85,26.89,41259100,26.89,
5/6/2013,28.33,28.46,27.48,27.57,43939400,27.57,
5/3/2013,29.04,29.07,28.15,28.31,58506400,28.31,
5/2/2013,28.01,29.02,27.98,28.97,104257000,28.97,
5/1/2013,27.85,27.92,27.31,27.43,64567600,27.43,
4/30/2013,27.13,27.85,27.01,27.77,36245700,27.77,
4/29/2013,27.16,27.41,26.86,26.98,29201100,26.98,
4/26/2013,26.6,27.62,26.6,26.85,33018000,26.85,
4/25/2013,26.07,26.4,26,26.14,17150000,26.14,
4/24/2013,25.93,26.4,25.8,26.11,19729900,26.11,
4/23/2013,26.22,26.33,25.77,25.98,25191500,25.98,
4/22/2013,25.81,26.36,25.7,25.97,25687600,25.97,
4/19/2013,25.62,25.96,25.33,25.73,20380900,25.73,
4/18/2013,26.82,26.82,25.15,25.69,39059000,25.69,
4/17/2013,26.65,27.2,26.39,26.63,26440600,26.63,
4/16/2013,26.81,27.11,26.4,26.92,27365900,26.92,
4/15/2013,27.16,27.48,26.36,26.52,30275400,26.52,
4/12/2013,28,28,27.24,27.4,28697400,27.4,
4/11/2013,27.48,28.1,27.25,28.02,33368500,28.02,
4/10/2013,27.01,27.84,26.9,27.57,45949400,27.57,
4/9/2013,26.58,26.89,26.42,26.59,21311100,26.59,
4/8/2013,27.19,27.2,26.63,26.85,27256000,26.85,
4/5/2013,26.86,27.8,26.61,27.39,64566600,27.39,
4/4/2013,26.62,27.23,26.11,27.07,82016800,27.07,
4/3/2013,25.83,26.39,25.7,26.25,48195200,26.25,
4/2/2013,25.77,26.12,25.3,25.42,35153300,25.42,
4/1/2013,25.63,25.89,25.28,25.53,22249300,25.53,
3/28/2013,26.09,26.17,25.52,25.58,28585700,25.58,
3/27/2013,25,26.28,24.72,26.09,52297400,26.09,
3/26/2013,25.08,25.48,25.03,25.21,26957200,25.21,
3/25/2013,25.75,25.8,25.08,25.13,39199000,25.13,
3/22/2013,25.8,26.01,25.63,25.73,18456300,25.73,
3/21/2013,25.66,26.11,25.56,25.74,24336100,25.74,
3/20/2013,26.68,26.69,25.78,25.86,44006500,25.86,
3/19/2013,26.53,26.9,26.21,26.55,25254200,26.55,
3/18/2013,26.37,26.79,25.78,26.49,26653700,26.49,
3/15/2013,27.03,27.06,26.56,26.65,31597400,26.65,
3/14/2013,27.1,27.43,26.83,27.04,27646400,27.04,
3/13/2013,27.62,27.65,26.92,27.08,39619500,27.08,
3/12/2013,28.1,28.32,27.6,27.83,27569600,27.83,
3/11/2013,28.01,28.64,27.83,28.14,35642100,28.14,
3/8/2013,28.43,28.47,27.73,27.96,44198900,27.96,
3/7/2013,27.57,28.68,27.47,28.58,74540200,28.58,
3/6/2013,28.1,28.13,27.35,27.45,33532600,27.45,
3/5/2013,27.88,28.18,27.21,27.52,40622200,27.52,
3/4/2013,27.76,28.06,27.44,27.72,32400700,27.72,
3/1/2013,27.05,28.12,26.81,27.78,54064800,27.78,
2/28/2013,26.84,27.3,26.34,27.25,83027800,27.25,
2/27/2013,27.34,27.34,26.63,26.87,44319700,26.87,
2/26/2013,27.36,27.46,26.7,27.39,31611700,27.39,
2/25/2013,27.16,27.64,27.15,27.27,34652000,27.27,
2/22/2013,27.62,27.63,26.82,27.13,36350200,27.13,
2/21/2013,28.28,28.55,27.15,27.28,49642300,27.28,
2/20/2013,28.92,29.05,28.33,28.46,42098200,28.46,
2/19/2013,28.23,29.08,28.12,28.93,49396400,28.93,
2/15/2013,28.52,28.75,28.09,28.32,33109300,28.32,
2/14/2013,28.02,28.63,28.01,28.5,35615800,28.5,
2/13/2013,27.36,28.32,27.31,27.91,50164000,27.91,
2/12/2013,27.67,28.16,27.1,27.37,93447800,27.37,
2/11/2013,28.61,28.68,28.04,28.26,37361800,28.26,
2/8/2013,28.89,29.17,28.51,28.55,37708800,28.55,
2/7/2013,29.11,29.15,28.27,28.65,34540100,28.65,
2/6/2013,28.74,29.29,28.66,29.05,38375900,29.05,
2/5/2013,28.26,28.96,28.04,28.64,47948200,28.64,
2/4/2013,29.06,29.2,28.01,28.11,92362200,28.11,
2/1/2013,31.01,31.02,29.63,29.73,85856700,29.73,
1/31/2013,29.15,31.47,28.74,30.98,190744900,30.98,
1/30/2013,30.98,31.49,30.88,31.24,87682100,31.24,
1/29/2013,32,32.07,30.71,30.79,72976500,30.79,
1/28/2013,31.88,32.51,31.81,32.47,59682500,32.47,
1/25/2013,31.41,31.93,31.13,31.54,54363600,31.54,
1/24/2013,31.27,31.49,30.81,31.08,43845100,31.08,
1/23/2013,31.1,31.5,30.8,30.82,48899800,30.82,
1/22/2013,29.75,30.89,29.74,30.73,55243300,30.73,
1/18/2013,30.31,30.44,29.27,29.66,49631500,29.66,
1/17/2013,30.08,30.42,30.03,30.14,40256700,30.14,
1/16/2013,30.21,30.35,29.53,29.85,75332700,29.85,
1/15/2013,30.64,31.71,29.88,30.1,173242600,30.1,
1/14/2013,32.08,32.21,30.62,30.95,98892800,30.95,
1/11/2013,31.28,31.96,31.1,31.72,89598000,31.72,
1/10/2013,30.6,31.45,30.28,31.3,95316400,31.3,
1/9/2013,29.67,30.6,29.49,30.59,104787700,30.59,
1/8/2013,29.51,29.6,28.86,29.06,45871300,29.06,
1/7/2013,28.69,29.79,28.65,29.42,83781800,29.42,
1/4/2013,28.01,28.93,27.83,28.76,72715400,28.76,
1/3/2013,27.88,28.47,27.59,27.77,63140600,27.77,
1/2/2013,27.44,28.18,27.42,28,69846400,28,
12/31/2012,26.2,26.99,26.11,26.62,60374500,26.62,
12/28/2012,25.48,26.11,25.15,25.91,56574800,25.91,
12/27/2012,26.55,26.8,25.52,26.05,43481700,26.05,
12/26/2012,27.03,27.18,26.38,26.51,33175400,26.51,
12/24/2012,26.5,26.96,26.2,26.93,28230100,26.93,
12/21/2012,26.66,27.01,26.12,26.26,54555200,26.26,
12/20/2012,27.49,27.6,27.13,27.36,35574800,27.36,
12/19/2012,27.83,28.22,26.95,27.41,61390300,27.41,
12/18/2012,26.96,27.91,26.9,27.71,60512900,27.71,
12/17/2012,26.77,27,26.32,26.75,57742500,26.75,
12/14/2012,28.18,28.33,26.76,26.81,91631600,26.81,
12/13/2012,27.59,28.75,27.43,28.24,81051600,28.24,
12/12/2012,28,28.14,27.37,27.58,46704200,27.58,
12/11/2012,28.07,28.24,27.66,27.98,77099100,27.98,
12/10/2012,27.17,28.17,27.1,27.84,50608500,27.84,
12/7/2012,27.07,27.78,26.84,27.49,51751900,27.49,
12/6/2012,27.68,27.75,26.82,26.97,46001500,26.97,
12/5/2012,27.75,27.9,27.26,27.71,58976300,27.71,
12/4/2012,27.06,27.76,26.68,27.46,72869200,27.46,
12/3/2012,28,28.88,26.98,27.04,123526100,27.04,
11/30/2012,27.26,28,26.76,28,127049600,28,
11/29/2012,26.5,27.52,26.16,27.32,88759700,27.32,
11/28/2012,25.94,26.49,25.75,26.36,49205600,26.36,
11/27/2012,26.04,26.5,25.46,26.15,85760600,26.15,
11/26/2012,24.94,26.09,24.81,25.94,123865000,25.94,
11/23/2012,24.58,24.68,23.88,24,29520900,24,
11/21/2012,23.22,24.53,23.05,24.32,89862400,24.32,
11/20/2012,22.73,23.9,22.7,23.1,46655300,23.1,
11/19/2012,23.96,24.12,22.82,22.92,85021300,22.92,
11/16/2012,22.25,23.93,22.18,23.56,107182200,23.56,
11/15/2012,22.34,22.5,21.65,22.17,78857700,22.17,
11/14/2012,20.1,22.5,19.93,22.36,229751000,22.36,
11/13/2012,19.61,20.11,19.56,19.86,71775100,19.86,
11/12/2012,19.15,20.17,18.87,20.07,67349200,20.07,
11/9/2012,19.96,20,19.13,19.21,42295500,19.21,
11/8/2012,20.52,20.73,19.98,19.99,34254600,19.99,
11/7/2012,20.85,20.95,20.37,20.47,33396800,20.47,
11/6/2012,21.24,21.37,20.99,21.17,29062700,21.17,
11/5/2012,21.1,21.48,20.92,21.25,31806700,21.25,
11/2/2012,21.26,21.69,21.07,21.18,38344400,21.18,
11/1/2012,21.08,21.44,21.01,21.21,37713900,21.21,
10/31/2012,20.82,21.5,20.73,21.11,99378200,21.11,
10/26/2012,22.4,22.88,21.88,21.94,73259600,21.94,
10/25/2012,23.29,23.31,22.47,22.56,76142000,22.56,
10/24/2012,24.13,24.25,22.85,23.23,228949900,23.23,
10/23/2012,19.25,19.8,19.1,19.5,78381200,19.5,
10/22/2012,19.2,19.43,19.05,19.32,32447300,19.32,
10/19/2012,19,19.06,18.8,19,34835000,19,
10/18/2012,19.7,19.79,18.89,18.98,52157400,18.98,
10/17/2012,19.5,20.48,19.37,19.88,44074500,19.88,
10/16/2012,19.68,19.69,19.3,19.48,21834700,19.48,
10/15/2012,19.68,19.88,19.49,19.52,20189700,19.52,
10/12/2012,19.75,19.8,19.48,19.52,18809400,19.52,
10/11/2012,19.88,19.96,19.61,19.75,21817300,19.75,
10/10/2012,19.93,19.94,19.45,19.64,39321800,19.64,
10/9/2012,20.39,20.55,19.97,20.23,27161800,20.23,
10/8/2012,20.4,20.75,20.16,20.4,32236700,20.4,
10/5/2012,21.49,21.63,20.88,20.91,40529300,20.91,
10/4/2012,22.32,22.4,21.41,21.95,46892100,21.95,
10/3/2012,22.3,22.49,21.8,21.83,32000100,21.83,
10/2/2012,22.08,22.49,21.82,22.27,29341400,22.27,
10/1/2012,22.08,22.59,21.73,21.99,51262700,21.99,
9/28/2012,20.57,21.95,20.5,21.66,65486000,21.66,
9/27/2012,20.99,21,20.16,20.32,30215900,20.32,
9/26/2012,20.15,20.78,19.8,20.62,38271900,20.62,
9/25/2012,21.2,21.21,20.22,20.28,46291700,20.28,
9/24/2012,21.78,21.98,20.36,20.79,79106500,20.79,
9/21/2012,22.97,23.24,22.6,22.86,51218100,22.86,
9/20/2012,23.02,23.24,22.54,22.59,57248900,22.59,
9/19/2012,21.99,23.37,21.77,23.29,78782800,23.29,
9/18/2012,21.6,21.98,21.37,21.87,36760500,21.87,
9/17/2012,22.67,22.75,21.5,21.52,50667600,21.52,
9/14/2012,21.13,22.08,20.9,22,72819800,22,
9/13/2012,20.96,21.48,20.61,20.71,65041600,20.71,
9/12/2012,20.76,21.16,20.28,20.93,121584000,20.93,
9/11/2012,18.92,19.58,18.85,19.43,50508200,19.43,
9/10/2012,19.06,19.2,18.55,18.81,24797800,18.81,
9/7/2012,19.1,19.42,18.78,18.98,36371700,18.98,
9/6/2012,18.74,19.26,18.72,18.96,46066500,18.96,
9/5/2012,18.27,18.75,18.18,18.58,60781800,18.58,
9/4/2012,18.08,18.27,17.55,17.73,46622400,17.73,
8/31/2012,18.68,18.7,18.03,18.06,58764200,18.06,
8/30/2012,19.27,19.45,19.06,19.09,30647500,19.09,
8/29/2012,19.32,19.38,19.07,19.1,16124700,19.1,
8/28/2012,19.1,19.38,18.95,19.34,25417000,19.34,
8/27/2012,19.49,19.53,19.1,19.15,20704000,19.15,
8/24/2012,19.52,19.68,19.25,19.41,29622200,19.41,
8/23/2012,19.5,19.73,19.36,19.44,32813700,19.44,
8/22/2012,19.36,19.53,18.96,19.44,49892200,19.44,
8/21/2012,19.58,19.98,19.09,19.16,70640600,19.16,
8/20/2012,19.05,20.13,18.75,20.01,101186600,20.01,
8/17/2012,20.01,20.08,19,19.05,129293400,19.05,
8/16/2012,20.44,20.48,19.69,19.87,157565300,19.87,
8/15/2012,20.64,21.41,20.4,21.2,47861100,21.2,
8/14/2012,21.41,21.6,20.25,20.38,39308800,20.38,
8/13/2012,22.15,22.45,21.4,21.6,24973100,21.6,
8/10/2012,21.41,21.82,21.13,21.81,25794700,21.81,
8/9/2012,20.75,21.17,20.61,21.01,15610700,21.01,
8/8/2012,20.71,21.15,20.22,20.72,29537400,20.72,
8/7/2012,22.2,22.45,20.5,20.72,36782900,20.72,
8/6/2012,21.39,22.15,21.3,21.92,27778900,21.92,
8/3/2012,20.36,22.16,19.9,21.09,80647000,21.09,
8/2/2012,20.77,20.84,19.82,20.04,56374500,20.04,
8/1/2012,21.5,21.58,20.84,20.88,44604400,20.88,
7/31/2012,23.37,23.37,21.61,21.71,56179400,21.71,
7/30/2012,24,24.04,23.03,23.15,29285900,23.15,
7/27/2012,23.19,24.54,22.28,23.71,123102300,23.71,
7/26/2012,27.75,28.23,26.73,26.85,64597400,26.85,
7/25/2012,28.39,29.49,28.08,29.34,17230200,29.34,
7/24/2012,28.82,29.45,28.1,28.45,11539800,28.45,
7/23/2012,28.12,29,28.01,28.75,12390700,28.75,
7/20/2012,29,29.47,28.72,28.76,11869100,28.76,
7/19/2012,29.41,29.5,28.63,29,13685100,29,
7/18/2012,28.31,29.29,28.15,29.11,16841800,29.11,
7/17/2012,28.48,28.59,27.15,28.09,30438600,28.09,
7/16/2012,30.5,30.5,28.21,28.25,24672100,28.25,
7/13/2012,31.04,31.07,30.56,30.72,8108300,30.72,
7/12/2012,30.7,31.4,30.6,30.81,11300700,30.81,
7/11/2012,31.48,31.56,30.55,30.97,13030300,30.97,
7/10/2012,32.43,32.48,31.16,31.47,14269500,31.47,
7/9/2012,32.1,32.88,31.99,32.17,17785200,32.17,
7/6/2012,31.44,31.9,31.26,31.73,10945600,31.73,
7/5/2012,31.32,31.63,31.02,31.47,10032100,31.47,
7/3/2012,30.91,31.44,30.8,31.2,8763600,31.2,
7/2/2012,31.25,31.73,30.55,30.77,14122000,30.77,
6/29/2012,31.92,31.99,30.76,31.1,19526900,31.1,
6/28/2012,31.96,32.19,30.9,31.36,17713300,31.36,
6/27/2012,32.46,32.9,31.9,32.23,28568000,32.23,
6/26/2012,32.69,33.44,32.5,33.1,24858700,33.1,
6/25/2012,32.86,33.02,31.55,32.06,24352900,32.06,
6/22/2012,32.41,33.45,32.06,33.05,74834000,33.05,
6/21/2012,31.67,32.5,31.51,31.84,21875300,31.84,
6/20/2012,31.92,31.93,31.15,31.6,15553600,31.6,
6/19/2012,31.54,32.18,30.7,31.91,30849000,31.91,
6/18/2012,29.96,32.08,29.41,31.41,42978900,31.41,
6/15/2012,28.51,30.1,28.35,30.01,43563800,30.01,
6/14/2012,27.65,28.32,27.38,28.29,16855000,28.29,
6/13/2012,27.66,28.1,27.1,27.27,17102800,27.27,
6/12/2012,27.48,27.77,26.96,27.4,15816800,27.4,
6/11/2012,27.18,28.07,26.84,27.01,28219600,27.01,
6/8/2012,26.55,27.76,26.44,27.1,38034000,27.1,
6/7/2012,27,27.35,26.15,26.31,26159500,26.31,
6/6/2012,26.07,27.17,25.52,26.81,61489200,26.81,
6/5/2012,26.7,27.76,25.75,25.87,42473400,25.87,
6/4/2012,27.2,27.65,26.44,26.9,35230300,26.9,
6/1/2012,28.89,29.15,27.39,27.72,41855500,27.72,
5/31/2012,28.55,29.67,26.83,29.6,111639200,29.6,
5/30/2012,28.7,29.55,27.86,28.19,57267900,28.19,
5/29/2012,31.48,31.69,28.65,28.84,78063400,28.84,
5/25/2012,32.9,32.95,31.11,31.91,37149800,31.91,
5/24/2012,32.95,33.21,31.77,33.03,50237200,33.03,
5/23/2012,31.37,32.5,31.36,32,73600000,32,
5/22/2012,32.61,33.59,30.94,31,101786600,31,
5/21/2012,36.53,36.66,33,34.03,168192700,34.03,
5/18/2012,42.05,45,38,38.23,573576400,38.23,
